N,mayor_a_menor,menor_a_mayor,randomizada,kahan,referencia_N_sobre_N_mas_1,error_mayor_a_menor,error_menor_a_mayor,error_randomizada,error_kahan,semilla_barrido_aleatorio
680,0.998531571218796,0.9985315712187959,0.9985315712187963,0.9985315712187959,0.9985315712187959,1.111855705543723e-16,0.0,4.447422822174892e-16,0.0,20260912
690,0.9985528219971058,0.9985528219971056,0.9985528219971055,0.9985528219971056,0.9985528219971056,2.22366408700285e-16,0.0,1.111832043501425e-16,0.0,20260912
700,0.9985734664764625,0.9985734664764622,0.9985734664764626,0.9985734664764622,0.9985734664764622,3.335427172552435e-16,0.0,4.447236230069913e-16,0.0,20260912
710,0.9985935302391002,0.9985935302390998,0.9985935302390991,0.9985935302390998,0.9985935302390999,3.335360157078111e-16,1.111786719026037e-16,7.782507033182259e-16,1.111786719026037e-16,20260912
720,0.9986130374479892,0.9986130374479889,0.9986130374479883,0.9986130374479889,0.9986130374479889,3.3352950031447413e-16,0.0,5.558825005241235e-16,0.0,20260912
730,0.9986320109439129,0.9986320109439124,0.998632010943913,0.9986320109439124,0.9986320109439124,4.446975512334189e-16,0.0,5.558719390417736e-16,0.0,20260912
740,0.9986504723346832,0.9986504723346828,0.9986504723346831,0.9986504723346828,0.9986504723346828,3.3351699780293555e-16,0.0,2.2234466520195705e-16,0.0,20260912
750,0.9986684420772307,0.9986684420772303,0.9986684420772308,0.9986684420772304,0.9986684420772304,3.3351099659739703e-16,1.1117033219913235e-16,4.446813287965294e-16,0.0,20260912
760,0.9986859395532198,0.9986859395532194,0.9986859395532198,0.9986859395532194,0.9986859395532195,3.3350515331832003e-16,1.1116838443944e-16,3.3350515331832003e-16,1.1116838443944e-16,20260912
770,0.9987029831387813,0.9987029831387808,0.998702983138781,0.9987029831387808,0.9987029831387808,4.446659490836342e-16,0.0,2.223329745418171e-16,0.0,20260912
780,0.9987195902688863,0.998719590268886,0.9987195902688863,0.998719590268886,0.998719590268886,3.33493916243172e-16,0.0,3.33493916243172e-16,0.0,20260912
790,0.9987357774968397,0.9987357774968394,0.9987357774968392,0.9987357774968394,0.9987357774968394,3.3348851106778437e-16,0.0,2.223256740451896e-16,0.0,20260912
800,0.9987515605493137,0.9987515605493134,0.9987515605493129,0.9987515605493134,0.9987515605493134,3.334832410217814e-16,0.0,4.446443213623752e-16,0.0,20260912
810,0.9987669543773122,0.9987669543773119,0.9987669543773119,0.998766954377312,0.998766954377312,2.2231873406691403e-16,1.1115936703345702e-16,1.1115936703345702e-16,0.0,20260912
820,0.9987819732034109,0.9987819732034104,0.9987819732034099,0.9987819732034104,0.9987819732034104,4.446307820571968e-16,0.0,5.55788477571496e-16,0.0,20260912
830,0.998796630565584,0.9987966305655835,0.9987966305655832,0.9987966305655837,0.9987966305655837,3.3346819281813434e-16,1.1115606427271145e-16,4.446242570908458e-16,0.0,20260912
840,0.9988109393579075,0.9988109393579072,0.9988109393579062,0.9988109393579072,0.9988109393579072,3.3346341561062737e-16,0.0,1.0003902468318822e-15,0.0,20260912
850,0.9988249118683903,0.9988249118683901,0.9988249118683904,0.9988249118683901,0.9988249118683902,1.1115291693600097e-16,1.1115291693600097e-16,2.2230583387200194e-16,1.1115291693600097e-16,20260912
860,0.9988385598141697,0.9988385598141696,0.9988385598141698,0.9988385598141696,0.9988385598141696,1.1115139816305345e-16,0.0,2.223027963261069e-16,0.0,20260912
870,0.9988518943742826,0.9988518943742823,0.9988518943742821,0.9988518943742825,0.9988518943742825,1.111499143044266e-16,1.111499143044266e-16,3.3344974291327976e-16,0.0,20260912
880,0.9988649262202045,0.9988649262202043,0.9988649262202042,0.9988649262202043,0.9988649262202043,2.2229692833971886e-16,0.0,1.1114846416985943e-16,0.0,20260912
