N,b_directa,b_telescopica,b_referencia,error_b_directa,error_b_telescopica,c_racionalizada,c_sustractiva,diferencia_c
490,0.9979633401221997,0.9979633401221996,0.9979633401221996,1.1124887858999018e-16,0.0,3.277305536728029,3.2773055367275328,4.960476474025199e-13
500,0.998003992015968,0.9980039920159679,0.998003992015968,0.0,1.1124434706744069e-16,3.287396682900302,3.2873966828998045,4.973799150320701e-13
510,0.9980430528375734,0.9980430528375733,0.9980430528375733,1.1123999325165784e-16,0.0,3.2972881894197035,3.2972881894192136,4.898303984646191e-13
520,0.998080614203455,0.9980806142034548,0.9980806142034548,1.1123580689032818e-16,0.0,3.306987802476186,3.3069878024756685,5.173639294753229e-13
530,0.9981167608286254,0.9981167608286253,0.9981167608286252,2.2246355700979554e-16,1.1123177850489777e-16,3.316502825988659,3.3165028259881177,5.413447468072263e-13
540,0.9981515711645104,0.9981515711645103,0.9981515711645101,2.224557986378554e-16,1.112278993189277e-16,3.325840154645898,3.325840154645584,3.1441516057384433e-13
550,0.9981851179673324,0.9981851179673323,0.9981851179673321,3.3367248358279704e-16,2.2244832238853134e-16,3.335006303918443,3.3350063039180435,3.9968028886505635e-13
560,0.9982174688057044,0.9982174688057043,0.9982174688057041,3.336616697221676e-16,2.224411131481117e-16,3.3440074373687176,3.344007437368213,5.044853423896711e-13
570,0.9982486865148863,0.9982486865148862,0.9982486865148862,1.1121707843174814e-16,0.0,3.3528493915460786,3.3528493915456687,4.098943406916078e-13
580,0.9982788296041308,0.9982788296041307,0.9982788296041308,0.0,1.1121372022538205e-16,3.361537698718636,3.361537698718302,3.339550858072471e-13
590,0.9983079526226735,0.9983079526226734,0.9983079526226735,0.0,1.112104758565199e-16,3.37007760766355,3.3700776076631422,4.076738946423575e-13
600,0.9983361064891848,0.9983361064891847,0.9983361064891847,1.1120733963328652e-16,0.0,3.378474102711469,3.378474102710947,5.218048215738236e-13
610,0.998363338788871,0.9983633387888708,0.9983633387888707,2.2240861247408873e-16,1.1120430623704437e-16,3.386731921218134,3.3867319212175966,5.373479439185758e-13
620,0.9983896940418681,0.998389694041868,0.998389694041868,1.1120137069229391e-16,0.0,3.394855569616486,3.394855569616106,3.801403636316536e-13
630,0.9984152139461174,0.9984152139461173,0.9984152139461173,1.1119852833944028e-16,0.0,3.4028493381854776,3.4028493381851144,3.632649736573512e-13
640,0.9984399375975038,0.9984399375975037,0.9984399375975039,1.1119577481011332e-16,2.2239154962022665e-16,3.410717314656747,3.4107173146562895,4.574118861455645e-13
650,0.9984639016897081,0.998463901689708,0.9984639016897081,0.0,1.1119310600476567e-16,3.418463396767208,3.4184633967668328,3.752553823233029e-13
660,0.9984871406959155,0.9984871406959154,0.9984871406959153,2.223810361446147e-16,1.1119051807230734e-16,3.426091303854045,3.4260913038537177,3.2729374765949615e-13
670,0.9985096870342774,0.9985096870342773,0.9985096870342772,2.223760147831284e-16,1.111880073915642e-16,3.433604587578459,3.4336045875781105,3.4861002973229915e-13
680,0.998531571218796,0.9985315712187959,0.9985315712187959,1.111855705543723e-16,0.0,3.4410066418555667,3.441006641855119,4.476419235288631e-13
690,0.9985528219971058,0.9985528219971057,0.9985528219971056,2.22366408700285e-16,1.111832043501425e-16,3.4483007120599387,3.448300712059585,3.5349501104064984e-13
700,0.9985734664764625,0.9985734664764624,0.9985734664764622,3.335427172552435e-16,2.2236181150349567e-16,3.455489903569278,3.4554899035688544,4.2366110619695974e-13
710,0.9985935302391002,0.9985935302391001,0.9985935302390999,3.335360157078111e-16,2.223573438052074e-16,3.462577189702528,3.46257718970221,3.1796787425264483e-13
